review_identity,pub_identity,review_deletion,visit,star,atmosphere,cleanliness,clientele,decor,entertainment,food,friendliness,opening,price,selection,reviewer,tv,garden,music,late,meals,toilets,cheap,games,rating,rank
1869bc0d-e2a8-40c9-bcba-073bfaaa4ba0,00ffd490-b3b8-424d-b5d2-5122bbebdba2,False,test date,decor,6.0,5.0,6.0,8.0,2.0,5.0,4.0,5.0,2.0,3.0,,False,False,False,False,False,False,False,False,54.0,3
e1c5fd3e-8fb3-40ff-a7cb-1bf2d20e8611,10f611a2-512f-4b07-aa57-8de878ccbb3b,False,test date,decor,7.0,10.0,6.0,10.0,0.0,3.0,9.0,5.0,0.0,8.0,both,False,False,False,False,False,False,False,False,80.0,4
90ccf461-1a45-48ee-b8e2-9270e36393e4,0d3af39b-2da5-4ce4-bb58-734a1523af77,False,2023-02-16,clientele,8.0,4.0,9.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0,BOTH,False,False,False,False,False,False,False,False,78.0,4
f2df2681-9b63-46a7-83f2-1fb8d6e3e0a1,efcf3870-da4d-4a44-9c1b-3d5be38edeaa,False,test date,decor,6.0,3.0,7.0,9.0,4.0,6.0,7.0,5.0,5.0,8.0,both,False,False,False,False,False,False,False,False,74.0,4
50fa15ac-5cd3-41ab-a183-54e52897955a,eabe0a83-2841-4c72-b86a-4fb5504e2161,False,2023-02-16,entertainment,6.0,5.0,6.0,6.0,8.0,5.0,7.0,7.0,5.0,7.0,BOTH,False,False,False,False,False,False,False,False,64.0,4
e55d062a-f75b-4d7e-95bb-2f7199650949,75d7f798-4740-483c-9140-88318b66078e,False,test date,atmosphere,9.0,5.0,8.0,5.0,4.0,5.0,5.0,5.0,2.0,7.0,both,False,False,False,False,False,False,False,False,68.0,4
f5a12325-30b9-4a82-b84b-804fb6d24a65,2fb4fd5e-0efa-406b-9766-68a70919ff97,False,test date,decor,5.0,7.0,4.0,8.0,2.0,4.0,6.0,5.0,6.0,1.0,both,False,False,False,False,False,False,False,False,48.0,3
aa272853-1d21-42b2-a927-507904cbe0f3,e8cbe945-648f-4a82-8e4b-8a6eb043af7f,False,test date,friendliness,6.0,7.0,5.0,6.0,3.0,6.0,8.0,5.0,3.0,7.0,both,False,False,False,False,False,False,False,False,64.0,4
9aa2f873-b061-4b53-9c8d-f2aedc25dfe7,5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,False,2023-02-16,entertainment,8.0,9.0,8.0,7.0,10.0,5.0,8.0,7.0,4.0,7.0,BOTH,False,False,False,False,False,False,False,False,76.0,4
b2fc5b4f-5be7-4366-a632-09e166da3bfa,0ca14449-0d5b-4e03-9247-99fed9cebbc3,False,2023-02-16,friendliness,8.0,8.0,9.0,9.0,6.0,5.0,9.0,4.0,4.0,4.0,BOTH,False,False,False,False,False,False,False,False,78.0,4
a1f75b71-aeba-4a08-8a3c-ae5b3ae7098a,49bf46f8-088d-44aa-afee-c96875a311a7,False,test date,selection,4.0,6.0,5.0,3.0,2.0,6.0,7.0,5.0,5.0,8.0,both,False,False,False,False,False,False,False,False,54.0,3
8c8692f4-a7f3-4622-98a6-dec317bcca02,57fe4fa1-3339-47f7-be7c-8de1e4b539d6,False,2023-02-16,entertainment,8.0,6.0,7.0,7.0,10.0,7.0,7.0,5.0,3.0,4.0,BOTH,False,False,False,False,False,False,False,False,66.0,4
